ACARA ID,School Name,Suburb,State,Postcode,Type,Sector,Status,Geolocation,Parent School ID,AGE ID,Latitude,Longitude,StateProvinceID
42375,"The Rivers Secondary College, Lismore High Campus",Lismore,NSW,2480,Secondary,Gov,Open,Inner Regional,42375,49814,-28.8208,153.297,000008124
42384,"The Rivers Secondary College, Richmond River High Campus",North Lismore,NSW,2480,Secondary,Gov,Open,Inner Regional,42384,9834,-28.7988,153.28,000008214
42619,The Rock Central School,The Rock,NSW,2655,Combined,Gov,Open,Inner Regional,42619,50508,-35.2663,147.115,000002976
41611,Thomas Reddall High School,Ambarvale,NSW,2560,Secondary,Gov,Open,Major Cities,41611,54975,-34.0818,150.803,000008589
42121,Tomaree High School,Salamander Bay,NSW,2317,Secondary,Gov,Open,Inner Regional,42121,57492,-32.7359,152.112,000008502
42629,Tooleybuc Central School,Tooleybuc,NSW,2736,Combined,Gov,Open,Outer Regional,42629,46514,-35.0266,143.338,000003235
42399,Toormina High School,Toormina,NSW,2452,Secondary,Gov,Open,Inner Regional,42399,49670,-30.351,153.084,000008527
42137,Toronto High School,Toronto,NSW,2283,Secondary,Gov,Open,Major Cities,42137,46347,-33.0088,151.582,000008909
43040,Tottenham Central School,Tottenham,NSW,2873,Combined,Gov,Open,Remote,43040,46485,-32.2455,147.352,000003249
43041,Trangie Central School,Trangie,NSW,2823,Combined,Gov,Open,Outer Regional,43041,46455,-32.0325,147.979,000003254
43042,Trundle Central School,Trundle,NSW,2875,Combined,Gov,Open,Outer Regional,43042,51104,-32.9254,147.709,000003259
42130,Tuggerah Lakes Secondary College Berkeley Vale Campus,Berkeley Vale,NSW,2261,Secondary,Gov,Open,Major Cities,42130,14976,-33.3417,151.425,000008563
42116,Tuggerah Lakes Secondary College The Entrance Campus,Long Jetty,NSW,2261,Secondary,Gov,Open,Major Cities,42116,48727,-33.3713,151.477,000008465
42102,Tuggerah Lakes Secondary College Tumbi Umbi Campus,Tumbi Umbi,NSW,2261,Secondary,Gov,Open,Major Cities,42102,15387,-33.3956,151.454,000008274
43044,Tullamore Central School,Tullamore,NSW,2874,Combined,Gov,Open,Outer Regional,43044,51103,-32.6368,147.566,000003270
42630,Tullibigeal Central School,Tullibigeal,NSW,2669,Combined,Gov,Open,Remote,42630,50533,-33.4229,146.723,000003272
42709,Tumbarumba High School,Tumbarumba,NSW,2653,Secondary,Gov,Open,Outer Regional,42709,46379,-35.7831,148.018,000008450
42704,Tumut High School,Tumut,NSW,2720,Secondary,Gov,Open,Inner Regional,42704,46419,-35.3122,148.219,000008343
41339,Turramurra High School,South Turramurra,NSW,2074,Secondary,Gov,Open,Major Cities,41339,47634,-33.7573,151.115,000008435
42391,Tweed River High School,Tweed Heads South,NSW,2486,Secondary,Gov,Open,Major Cities,42391,46475,-28.1957,153.541,000008370
42929,Ulladulla High School,Ulladulla,NSW,2539,Secondary,Gov,Open,Inner Regional,42929,50063,-35.3582,150.47,000008495
42633,Ungarie Central School,Ungarie,NSW,2669,Combined,Gov,Open,Outer Regional,42633,50534,-33.638,146.978,000003311
42496,Uralla Central School,Uralla,NSW,2358,Combined,Gov,Open,Inner Regional,42496,49395,-30.6415,151.494,000003864
42937,Vincentia High School,Vincentia,NSW,2540,Secondary,Gov,Open,Inner Regional,42937,54663,-35.0777,150.663,000008593
42103,Wadalba Community School,Wadalba,NSW,2259,Combined,Gov,Open,Major Cities,42103,56643,-33.2648,151.467,000008278
42692,Wagga Wagga High School,Wagga Wagga,NSW,2650,Secondary,Gov,Open,Inner Regional,42692,50490,-35.1244,147.364,000008142
42481,Walcha Central School,Walcha,NSW,2354,Combined,Gov,Open,Outer Regional,42481,46439,-30.9818,151.604,000003340
43119,Walgett Community College - High School,Walgett,NSW,2832,Secondary,Gov,Open,Remote,43119,46411,-30.0271,148.119,000008475
40759,Wambangalang Environmental Education Centre,Dubbo,NSW,2830,Combined,Gov,Open,Outer Regional,40759,64091,-32.488,148.555,000005681
42528,Warialda High School,Warialda,NSW,2402,Secondary,Gov,Open,Outer Regional,42528,49504,-29.5479,150.575,000008519
42919,Warilla High School,Barrack Heights,NSW,2528,Secondary,Gov,Open,Major Cities,42919,46503,-34.5652,150.858,000008418
42115,Warners Bay High School,Warners Bay,NSW,2282,Secondary,Gov,Open,Major Cities,42115,48961,-32.9677,151.654,000008440
42925,Warrawong High School,Warrawong,NSW,2502,Secondary,Gov,Open,Major Cities,42925,46370,-34.4802,150.875,000008480
43049,Warren Central School,Warren,NSW,2824,Combined,Gov,Open,Outer Regional,43049,46460,-31.7051,147.837,000003392
40760,Warrumbungle National Park Environmental Education Centre,Coonabarabran,NSW,2357,Combined,Gov,Open,Outer Regional,40760,64092,-31.25459,148.981077,000005732
42380,Wauchope High School,Wauchope,NSW,2446,Secondary,Gov,Open,Inner Regional,42380,46365,-31.4509,152.731,000008173
42522,Wee Waa High School,Wee Waa,NSW,2388,Secondary,Gov,Open,Outer Regional,42522,56292,-30.2198,149.457,000008270
43105,Wellington High School,Wellington,NSW,2820,Secondary,Gov,Open,Outer Regional,43105,46456,-32.5467,148.948,000008197
53397,Wentworth Point High School,Wentworth Point,NSW,2127,Secondary,Gov,Open,Major Cities,53397,89446,-33.82373211,151.0815897,000008918
42111,West Wallsend High School,West Wallsend,NSW,2286,Secondary,Gov,Open,Major Cities,42111,46442,-32.9109,151.582,000008411
42706,West Wyalong High School,West Wyalong,NSW,2671,Secondary,Gov,Open,Outer Regional,42706,50537,-33.9158,147.202,000008392
41582,Westfields Sports High School,Fairfield West,NSW,2165,Secondary,Gov,Open,Major Cities,41582,48161,-33.8684,150.92,000008384
42108,Whitebridge High School,Whitebridge,NSW,2290,Secondary,Gov,Open,Major Cities,42108,49093,-32.972,151.712,000008390
43054,Wilcannia Central School,Wilcannia,NSW,2836,Combined,Gov,Open,Very Remote,43054,46486,-31.5585,143.376,000003442
41615,Wiley Park Girls High School,Punchbowl,NSW,2196,Secondary,Gov,Open,Major Cities,41615,46338,-33.9242,151.067,000008888
41322,Willoughby Girls High School,Willoughby,NSW,2068,Secondary,Gov,Open,Major Cities,41322,47622,-33.8031,151.2,000008159
43120,Willyama High School,Broken Hill,NSW,2880,Secondary,Gov,Open,Outer Regional,43120,46487,-31.9366,141.473,000008491
41819,Windsor High School,Mcgraths Hill,NSW,2756,Secondary,Gov,Open,Major Cities,41819,50753,-33.6187,150.834,000008396
42393,Wingham High School,Wingham,NSW,2429,Secondary,Gov,Open,Inner Regional,42393,49543,-31.8674,152.382,000008391
41843,Winmalee High School,Winmalee,NSW,2777,Secondary,Gov,Open,Major Cities,41843,54956,-33.676,150.615,000008573
42906,Wollongong High School of the Performing Arts,Fairy Meadow,NSW,2519,Secondary,Gov,Open,Major Cities,42906,50004,-34.4058,150.89,000008143
42408,Wollumbin High School,Murwillumbah,NSW,2484,Secondary,Gov,Open,Inner Regional,42408,54692,-28.335035,153.363153,000008596
42320,Woodenbong Central School,Woodenbong,NSW,2476,Combined,Gov,Open,Outer Regional,42320,46446,-28.3897,152.61,000003491
40762,Wooglemai Environmental Education Centre,Oakdale,NSW,2570,Combined,Gov,Open,Inner Regional,40762,64094,-34.1346,150.499,000005667
42401,Woolgoolga High School,Woolgoolga,NSW,2456,Secondary,Gov,Open,Inner Regional,42401,49682,-30.1004,153.19,000008548
41173,Woolooware High School,Woolooware,NSW,2230,Secondary,Gov,Open,Major Cities,41173,48659,-34.0398,151.146,000008433
42918,Woonona High School,Woonona,NSW,2517,Secondary,Gov,Open,Major Cities,42918,46435,-34.3448,150.909,000008410
40646,Wyndham College,Quakers Hill,NSW,2763,Secondary,Gov,Open,Major Cities,40646,56110,-33.726,150.88,000008277
42094,Wyong High School,Wyong,NSW,2259,Secondary,Gov,Open,Major Cities,42094,46373,-33.2813,151.418,000008166
42693,Yanco Agricultural High School,Yanco,NSW,2703,Secondary,Gov,Open,Outer Regional,42693,50554,-34.6322,146.384,000008144
42915,Yass High School,Yass,NSW,2582,Secondary,Gov,Open,Inner Regional,42915,50279,-34.8355,148.911,000008334
43061,Yeoval Central School,Yeoval,NSW,2868,Combined,Gov,Open,Outer Regional,43061,46457,-32.7544,148.65,000003555
42694,Young High School,Young,NSW,2594,Secondary,Gov,Open,Inner Regional,42694,50298,-34.3171,148.292,000008155
